'Probe'	'Symbol'	'acg'	'dlpfc'	'cb'	'amy'	'hc'	'nacc'	'new-mean-6'
'7767_at'	'ZNF224'	12	0	-4	2	8	14	0.0512509736
'80222_at'	'TARS2'	3	3	16	7	3	-5	0.0513474731
'9232_at'	'PTTG1'	17	-6	-6	-1	-5	16	0.0513979547
'64850_at'	'AGXT2L1'	15	14	8	15	15	13	0.0514525391
'65003_at'	'MRPL11'	-5	3	11	13	16	1	0.0515405475
'5265_at'	'SERPINA1'	0	4	1	1	3	5	0.0516557508
'251_at'	'ALPPL2'	8	9	-2	-5	-4	4	0.051805085
'5100_at'	'PCDH8'	13	12	8	15	-5	-1	0.0518120751
'115817_at'	'DHRS1'	13	6	9	16	8	3	0.0518447751
'23149_at'	'FCHO1'	5	1	-3	5	1	17	0.052048465
